Gender,Classroom,Job
F,10CSI,Khoa học ứng dụng AI
F,10CH,Dược
F,10CH,Software Engineer/Data Engineer (con vẫn đang phân vân ạ)
M,10A,Bác sĩ
N/A,10A,Computer Science
F,10CTR-N,"AI,...."
M,10A,"bác sĩ, công nghệ sinh học tế bào, công nghệ y sinh."
F,10A,bác sĩ/ điều dưỡng
M,10A,"Em muốn làm ngành y, nghề bác sĩ"
M,10A,Kinh Tế
N/A,10CA,Ngành thiết kế / web designer
F,10A,Em chưa có định hướng
F,10CH,ngành y
M,10A,Em muốn làm bác sĩ ạ.
M,10A,Liên quan với vật lý và khoa học kĩ thuật
M,10A,Bác sĩ 
F,10CSU-Đ,"Dạ thưa thầy, em chưa xác định được ngành nghề mình muốn theo, em chỉ có định hướng thi vào ĐH Khoa học Xã hội Nhân văn thôi ạ."
F,10CA,Em chưa xác định được nghành nghề mình muốn theo
F,10A,Công nghệ sinh học
F,10A,"Dạ em chưa xác định rõ ạ, nhưng mà giờ thì em nghĩ là ngành logistics hoặc ngành phiên dịch ạ."
M,10CL,Cơ điện tử/Kỹ sư robot
F,10CA,Thiết kế đồ hoạ
N/A,10A,tạm thời em vẫn đang tìm hiểu các ngành nghề của khối A1 và D để lựa chọn
F,10CH,Bác sĩ
F,10A,"Sau này em thiên hướng khối D, em muốn học về quản trị kinh doanh/ quản lý nhân sự "
M,10CA,ngành liên quan đến công nghệ thông tin/ máy tính
M,10A,Y Dược 
F,10A,Ngành Logistics
F,10A,Kiểm toán/Khoa học máy tính
F,10A,Em có đam mê với hóa sinh và y dược ạ
F,10A,Em chưa định hướng được nghề nghiệp sẽ theo sau này ạ
N/A,10A,Bác sĩ
F,10A,bác sĩ
M,10A,Ngành kế/kiểm toán
M,10A,Sư phạm
N/A,10A,Bác sĩ
M,10A,Lập trình viên thiết kế phần mềm
M,10A,Công nghệ thông tin
M,10A,Công Nghệ Thông Tin/Lập Trình
F,10A,Ban A/A1
F,10A,"Em chưa chắc về ngành học sau này của em, em đang phân vân giữa Mỹ Thuật và Ngôn Ngữ Anh."
F,10A,"Em vẫn chưa xác định được chính xác và mình muốn làm ngành nghề gì trong tương lai nhưng định hướng sẽ là nghề liên quan đến vật lý, mĩ thuật hoặc lập trình, hiện tại em đang quan tâm đến các môn học đó."
F,10A,Nhóm ngành kinh tế
F,10CS,bác sĩ
N/A,10A,Em muốn làm ngành y
M,10A,Em muốn làm trong ngành Dược ạ
F,10A,kiến trúc ạ
F,10CA,Dạ em chưa có định hướng cụ thể ạ
F,10CA,Ngành liên quan đến công nghệ thông tin ạ 
M,10CA,điện ảnh
F,10CA,em chưa biết nữa ạ
F,10CA,Em muốn theo ngành kinh tế
F,10CA,Em yêu thích ngành kiểm soát không lưu
F,10CA,Em chưa biết ạ
F,10CSi,Em muốn làm người vẽ tranh minh họa
F,10CV,Dạ sau này em muốn làm trong ngành tâm lí học tham vấn.
F,10A,Em dự định theo khối B nhưng chưa rõ ngành gì ạ.
M,10SN,Developper 
M,10CT,Em chưa tính đến
F,10CV,Em muốn trở thành thông dịch viên
F,10 CSi,Kinh doanh - tâm lý học
M,10CSI,Chưa rõ ạ.
F,10CTR-N,Bác sĩ
M,10CSU-D,Chưa xác định 
F,10CTR-N,Dạ làm hướng dẫn viên du lịch
F,10CV,Các ngành về kinh tế/đối ngoại
F,10CTrN,bác sĩ 
F,10CTIN-A,Em muốn theo ngành quan hệ quốc tế
M,10CT,Điều tra hình sự
F,10CSI,Em chưa rõ ạ
F,10CV,Em muốn theo psychology hoặc chemistry
M,10CT,Trí tuệ nhân tạo
M,10CTr-N,về kinh tế
F,10CV,em muốn theo marketing
M,10CSU-Đ,Giáo viên
M,10CTr-N,tâm lý học
M,10CV,kinh tế
M,10CT,Em chưa biết
M,10CT,Dạ em chưa biết
F,10CV,Dược hoặc một số ngành nghề liên quan tới chính trị hay kinh tế
M,10 CTr-N,kinh doanh bất động sản
F,10CV,kinh tế
N/A,10CSi,Dược sĩ
M,10CSu-Đ,Em muốn làm nhà ngoại giao
M,10CTin-A,Hiện tại em muốn đi công nghệ thông tin.
F,10CV,Truyền thông hoặc Kinh tế
M,10Ctin,Lập Trình Viên
M,10CT,Làm gì cũng được miễn là không bị giới hạn
M,10CSU-Đ,Nghành công nghệ thông tin
F,10CSU-D,Em đang có định hướng về ngành kỹ sư hàng không nhưng mà em không đạt được tiêu chuẩn thể chất 
M,10CV,Sau này em muốn làm ngành sư phạm . 
N/A,10CTR-N,dạ em muốn đi chính trị ạ
M,10CV,Phiên dịch viên
N/A,10CT,"Em muốn làm về kinh tế, chứng khoán"
F,10CV,E muốn làm nghề liên quan đến kinh tế ạ
M,10CSU-DIA,Ngành du lịch
F,10CTIN-A,Em muốn làm ngành Truyền thông đa phương tiện.
F,10CTR-N,Ngành phiên dịch
M,10CV,Nhóm ngành kinh tế
M,10Csi,Bác Sĩ
M,10CT,Em muốn làm kĩ sư điện điện tử
M,10CSI,Bác sĩ
M,10CTIN-A,Kinh tế
F,10CV,Bác Sĩ
F,10CV,Em muốn làm nghề quản trị kinh doanh.
M,10CV,Ngành ngoại giao
M,10CT,Quản trị kinh doanh
F,10CT,"Kiến trúc sư, thiết kế đồ họa"
F,10CSu-Đ,"Em muốn làm những nghành liên quan đến truyền thông, giải trí"
F,10CV,Bác sĩ
M,10CTINA,Công nghệ thông tin
F,10CV,dạ em không biết ạ
M,10CT,Em muốn làm nhân viên văn phòng.
F,10CV,Thiết kế đồ hoạ
F,10CV,Nhà thiết kế
F,10CV,Truyền thông
F,10CV,Sư phạm hoặc ngành tâm lí
F,10CV,Doanh nhân - thiên về kinh tế
F,10CV,kinh tế
F,10CV,"thiết kế đồ hoạ, hoạt động nghệ thuật nói chung."
F,10CV,Sau này em muốn làm ngành nghề liên quan đến các ngành kinh tế.
M,10CSU-Đ,Chưa có định hướng 
M,10CTr-N,Em chưa suy nghĩ 
F,10CSi,Dạ y đa khoa ạ
F,10CV,"Marketing, truyền thông"
F,10CV,Marketing
M,10CT,"Bác sĩ, sư phạm toán"
N/A,10CV,Nghệ sĩ
M,10CS,Em chưa biết
M,10CSU-Đ,"Tổ chức sự kiện, quản trị khách sạn"
M,10CTrN,Em tính làm về ngành IT
F,10CV,Em chưa xác định rõ nhưng mà có thể sẽ liên quan tới Khoa học dữ liệu ạ
F,10CTr-N,Bất động sản 
F,10CV,e mong muốn làm ngành y 
M,10CSU-Đ,em chưa biết
F,10CTR-N,Bác sĩ ạ
F,10CSU-Đ,Environmental Scientist
M,10CTRN,Tâm lí
F,10CV,Dạ nghành tâm lý học ạ
F,10CV,em chưa định hướng rõ nhưng mong muốn hiện tại là ngành Luật ạ
F,10CSI,Bác sĩ
F,10CV,Bác si
F,10CV,em muốn làm nhà báo hoặc học ngành quan hệ công chúng
F,10CV,"Em muốn làm về các ngành sinh học / môi trường, cụ thể như công nghệ sinh học hay môi trường học"
F,10CV,Dạ em không biết
FF,10CV,Biên tập viên truyền hình
M,10CT,Vẫn chưa xác định được nghề nghiệp sau này
M,10CTIN-A,Dược sĩ
F,10CV,Em muốn học báo chí ạ
F,10CTr-N.,Em muốn làm ngành liên quan đến kinh doanh.
F,10CV,Em không biết
M,10CT,Em muốn làm 1 trong 2 mảng lập trình là data science hoặc back-end developer
F,10CSi,E muốn làm Nghiên cứu/ công nghệ sinh/ bảo tồn
F,10CTIN-A,phiên dịch viên/bác sĩ/thiết kế nội thất
M,10CSU-Đ,Chưa biết
M,10CSU-Đ,Ngôn ngữ học
M,10CTr_N,Dạ ngành nha ạ
M,10CSU-Đ,Kỹ sư địa chất
F,10CTr-N,Kiến trúc sư
F,10CSi,Công Nghệ Sinh Học
F,10CV,Em muốn học Luật Kinh Tế ạ.
F,10CTRN,em muốn làm về thời trang và hoạt hình
F,10CTR-N,Dạ sau này em muốn làm về nghành dược ạ
M,10CT,Làm ngành y
F,10CV,Em muốn làm những ngành liên quan đến Y Dược.
M,10CV,Em muốn làm quản trị kinh doanh ạ
M,10CT,Lập trình viên AI
M,10CSU-Đ,Kỹ sư 
M,10CV,Truyền thông/ Kinh doanh/ Marketing
M,10CTR-N,Quản lý tài chính
F,10CTr-N,Ngành liên quan đến xã hội
M,10CTIN-A,Lập trình viên
M,10CTIN-A,Ngành lập trình công nghệ thông tin
N/A,10CTR-N,Nghành
N/A,10CSi,Nghiên cứu hoá sinh
M,10CSU-Đ,Chính trị học =))
F,10CTINA,"Em có mong muốn làm dược sĩ, ngành về y tế"
F,10CT,Em chưa xác định ạ. 
F,10CSU- Đ,Em mong muốn trở thành họa sĩ
M,10CSU-Đ,Bác sĩ
M,10CT,Em chưa xác định được ạ.
M,10CV,Ngành Y
M,10CT,Quản trị kinh doanh nhưng vẫn muốn hướng đên công nghệ thông tin ạ
F,10CV,Ngành Truyền thông hoặc Tâm lý học
F,10CTin-A,Em muốn làm Bác Sĩ.
F,10CV,Em muốn làm các ngành liên quan đến kinh tế hoặc marketing ạ
M,10CSI,Em muốn làm bác sĩ
F,10CV,Sau này e muốn làm ngành nghề liên quan tới mĩ thuật và viết lách 
F,10CH,nghề y
M,10A,Em muốn trở thành một doanh nhân
F,10A,Em muốn làm kiến trúc
M,10A,CNTT
F,10CA,"Luật, Kinh tế, Giáo dục"
F,10A,Em muốn làm bác sĩ phẫu thuật ạ 
M,10A,chưa xác định
F,10A,Nhóm ngành kinh tế
M,10A,"dạ ngành marketing, nhà báo"
M,10A,"Kiến trúc sư, ca sĩ"
M,10CA,Chưa biết
F,10A,Em mong muốn ngành kỹ thuật y sinh
M,10CL,kinh tế
M,10SN,em chưa xác định
F,10CL,Kinh doanh
M,10A,Tài chính- Kinh tế
F,10A,Kinh tế - Tài chính
F,10A,Em chưa có định hướng ạ
F,10CH,Kĩ sư hoá
M,10CA,Thiết kế đồ hoạ
M,10A,Em chưa biết ạ
M,10A,"Founder, Thiết kế đồ họa, giám độc nghệ thuật"
F,10CH,ngành hoá pháp y
M,10CA,Ngành khoa học máy tính
F,10SN,Nghiên cứu khoa học
F,10SN,Hiện tại em chưa định hướng nghề nghiệp được ạ
F,10CA,Em muốn làm giáo viên hoặc theo học anh văn thương mại ạ.
M,10A,Lập trình
M,10A,Ngành Y
F,10CL,Kĩ sư 
F,10SN,nghiên cứu
M,10SN,Công nghệ sinh học
F,10CA,Em muốn làm giáo viên hoặc luật sư ạ
M,10A,Kĩ sư
F,10CL,Em muốn làm kế toán
F,10SN,Thiết kế đồ hoạ
M,10CA,Em muốn làm doanh nhân 
F,10SN,Em chưa có dự định rõ ràng về ngành nghề trong tương lai.
M,10CL,Em chưa có định hướng 
M,10SN,Không biết
M,10CA,Vật lý
F,10A,"Em chưa có định hướng rõ rệt nhưng em muốn theo ngành nghệ thuật, cụ thể hơn là một họa sĩ và một nhà văn "
M,10A,em vẫn chưa suy nghĩ đến ạ
F,10SN,Kinh doanh
M,10A,em muốn tạo ra một nền tảng thanh toán bằng khuôn mặt ( face pay ) 
M,10CA,Dạ em vẫn chưa có 1 định hướng rõ ràng về nghề nghiệp của em ạ
M,10CL,công nghệ sinh học hoặc computer science 
M,10CL,Dạ
F,10A,Kinh tế/Luật
F,10SN,Y khoa ạ
F,10A,y
M,10SN,Kỹ sư
F,10A,Em muốn làm những ngành nghề liên quan đến tiếng Anh
F,10A,.
F,10A,Báo chí truyền thông
F,10CA,Thiết kế Đồ hoạ
F,10SN,Ngành nghề mơ ước của em là bác sĩ
F,10CA,Em muốn làm trong ngành truyền thông và báo chí
F,10A,Em muốn theo ngành kinh tế
F,10SN,kỹ sư
F,10SN,Truyền thông
F,10CH,Kinh doanh
M,10A,Bác sĩ
F,10A,"Vâng có thể là công nghệ thông tin, cụ thể là lập trình game hoặc các ứng dụng khác."
M,10SN,It
F,10CA,em đam mê các ngành liên quan đến ngôn ngữ và tâm lí học
M,10CH,Bác sĩ/ Nha sĩ
F,10SN,"thiết kế, kiến trúc"
F,10A,làm những ngành về kinh tế hoặc media&communication ạ
F,10CL,"Công nghệ vật lý điện tử và tin học, Kỹ thuật cơ điện tử"
F,10SN,"Em muốn làm ngành dược sĩ, bác sĩ"
M,10A, 
F,10CH,Em có dự định theo Y hoặc Luật ạ.
F,10A,Quản trị kinh doanh
M,10SN,Em muốn làm ngành kinh tế đối ngoại
F,10CH,Em muốn làm ngành Y ạ.
F,10A,Em định hướng rheo ngành kinh tế nhưng cũng rất thích khoa học và công nghệ
M,10A,Em muốn làm 
M,10A,em chưa biết
M,10SN,Lập trình viên hoặc thiết kế đồ hoạ
F,10A,Ngành kinh doanh quốc tế
M,10A,Công nghệ sinh học
F,10SN,Cảnh sát hình sự
F,10A,Nghệ thuật
F,10CA,dạ em chưa biết ạ
F,10A,Em muốn làm trong ngành y 
F,10A,Em không biết
M,10A,Lập trình robot
M,10A,Bác sĩ 
M,10CA,Em muốn làm thiết kế đồ hoạ
F,10SN,ngành kinh tế ạ
F,10A,Công nghệ thông tin
M,10sn,Ko biết
F,10SN,Em muốn học Mỹ thuật đa phương tiện ạ.
F,10SN,"Nghiên cứu sinh, kinh doanh"
M,10SN,Em có mong muốn làm quản trị kinh doanh 
M,10SN,"Lập trình viên các thiết bị điện tử, giảng viên đại học"
M,10CH,"Bác sĩ, giáo viên"
F,10A,"Em chưa có dự định trước, trước hết em mong mình có thể trở thành 1 công dân tốt ạ ! "
F,10A,Công nghệ sinh học
M,10CH,Em muốn theo ngành y dược ạ.
M,10SN,bác sĩ quân y
M,10SN,Marketing
F,10A,Kinh doanh
M,10CL,Em muốn học Machine learning và Deep learning 
F,10A,"Thiết kế thời trang, thiết kế đồ họa, kinh tế"
F,10A,Em có dự định làm bác sĩ
M,10SN,dạ em chưa có định hướng
N/A,10SN,Liên quan tới tài chính 
M,10A,Bác sĩ/ giáo viên
M,10SN,Sau này em muốn học thiết kế đồ hoạ
M,10SN,làm doanh nhân
F,10SN,Doanh nhân thời trang
F,10CL,AI
M,10CL,Ngành CNTT ạ
M,10CL,Giáo viên 
F,10A,em muốn kinh doanh
M,10CL,Not now
F,10SN,Giáo viên
F,10A,"Kinh tế, ngoại thương"
F,10CL,Em thấy hướng thú khi lập trình Python trong lớp Tin học.
M,10A,Lập trình viên
M,10A ,"ngành/ nghề : công nghệ sinh học, công nghệ hoá sinh, khoa học môi trường, khoa học chuyên sâu "
F,10A,Thiết kế đồ họa
F,10CA,Thiet ke do hoa hoac lien quan den phat trien game
F,10A,Ngành nghề liên quan tới nghệ thuật ạ
F,10A,Ngành nghề em muốn: kinh doanh quốc tế
M,10CL,dạ em muốn theo nghề trong lĩnh vực nghệ thuật ạ
F,10A,Em muốn làm các nghành nghề thuộc lĩnh vực kinh tế hoặc luật sư
M,10A,đầu bếp hay lĩnh vực nghệ thuật 
M,10A,Sư phạm tiếng anh. Nhưng có đam mê về nhiều lĩnh vực khác nữa
F,10CA,Em muốn làm bác sĩ ạ
M,10CA,Chưa có định kiến
F,10A,"designer, photographer"
F,10SN,Thiết kế nội thất
M,10SN,Dạ em muốn làm ca sĩ
M,10A,Kiến trúc sư
F,10SN,graphic designer
F,10A,Kinh doanh quốc tế
M,10CA,"Em muốn làm 1 bác sĩ, kĩ sư vi tính phần cứng phần mềm hoặc kiến trúc sư"
F,10A,Ngành Y khoa
M,10CA,Lập trình app và game
F,10SN,"Ngành truyền thông, quan hệ công chúng hoặc kinh tế"
M,10A,Programmer/Computer Science các ngành nghề liên quan đến khối A01
F,10SN,Ngành tâm lí
M,10CH,"Bác sĩ (pháp y, phẫu thuật)"
M,10CL,Data science
F,10A,em muốn làm ngành kinh tế cụ thể là quản trị kinh doanh là kinh doanh quốc tế
F,10A,Kinh doanh 
F,10A,"Em muốn theo ngành Chính trị, Quân sự và Ngoại giao. Nghề nghiệp mong muốn là Chủ tịch nước, không được sẽ làm Bộ trưởng bộ Ngoại giao, hoặc làm một chính trị gia, luật sư và trường hợp xấu nhất là sĩ quan."
F,10A,CEO
M,10A,Bác sĩ nội khoa
M,10SN,Làm giáo viên ngoại ngữ
M,10A,Kiến trúc sư hoặc Designer. 
F,10A,Bác sĩ 
F,10A,Thiết kế đồ họa
M,10A,Marketing 
F,10CA,Ngành kinh tế 
F,10CL,"Em muốn học hàng không, làm phi công"
F,10CH,chemist
M,10CH,Dạ em chưa có định hướng rõ ràng lắm ạ :”)
M,10A,Kế toán
M,10CH,.
F,10CL,Em nghĩ là nhóm ngành liên quan đến Kinh tế ạ
M,10A,Em muốn làm bác sĩ ạ.
F,10CV,Sư phạm văn
F,10SN,Em chưa xác định rõ ngành nghề em muốn làm nhưng sau này em muốn giàu nên em theo ngành của mẹ là IT
F,10 CTR-N,Dạ tạm thời em chưa suy nghĩ tới
F,10CA,Kiến Trúc
F,10A,Em muốn làm ngành liên quan đến luật ạ.
M,10CTIN-A,em muốn làm ngành kinh tế ạ
M,10A,Kinh tế chứng khoán ạ.
F,10CTIN-A,Ngành Khoa học Máy tính ạ
F,10CV,Thiết kế
F,10CSi,em chưa quyết định được
F,10CSU-D,Em chưa chọn được nghề nghiệp tương lai cho mình ạ. 
F,10CT,Ngoại thương
M,10CTinA,Thiết kế
F,10CV,Luật sư
F,10CV,ngành Truyền thông báo chí
F,10CSU-Đ,Khoa học máy tính 
F,10CTin-A,"Em muốn làm về Quản trị Nhân lực, Quản trị Kinh doanh ạ, em vẫn mong có thể áp dụng AI vào công việc để tiện lợi hơn và nhanh chóng hơn."
F,10CTR-N,"Ngành nghiên cứu ngôn ngữ học, hoặc hướng IT"
F,10CTin-A,Luật hoặc Kinh doanh.
